weight_class,winner,loser,method,round,time,notes,fight_card,event_name,link,weight
Lightweight 70 kg,Peter Stanonik,Vince McGuinness,Decision (Unanimous),3,3:00,,Superfight Series,Glory 67: Orlando,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Ross Levine,Thomas Diagne,KO (Head Kick),1,0:43,,Superfight Series,Glory 67: Orlando,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Keemaan Diop,John Morehouse,Decision (Unanimous),3,3:00,,Superfight Series,Glory 67: Orlando,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Nick Chasteen,Javanis Ross,TKO (Leg Injury),2,1:30,,Prelims,Glory 67: Orlando,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Taylor Krahl,Paul Banasiak,Decision(Majority),3,3:00,,Prelims,Glory 67: Orlando,https://en.wikipedia.org//wiki/2019_in_Glory,
Light Heavyweight 95 kg,Alex Pereira,Donegi Abena,KO (Punch),3,2:08,For the interim Glory Light Heavyweight Championship,Main card,Glory 68: Miami,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Asa Ten Pow,Bailey Sugden,Decision (Unanimous),3,3:00,,Main card,Glory 68: Miami,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Troy Jones,Ammari Diedrick,TKO (3 Knockdown Rule),1,2:28,,Main card,Glory 68: Miami,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Richard Abraham,Mike Lemaire,Decision (Split),3,3:00,,Main card,Glory 68: Miami,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Josh Jauncey,Lorawnt Nelson,Decision (Unanimous),3,3:00,,Main card,Glory 68: Miami,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Tiffany van Soest,Jady Menezes,Decision (Unanimous),3,3:00,,Superfight Series,Glory 68: Miami,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Matt Baker,Ivan Galaz,Decision (Unanimous),4,3:00,,Superfight Series,Glory 68: Miami,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Abraham Vidales,Justin Greskiewicz,TKO (Max Knockdown Rule),3,1:26,,Superfight Series,Glory 68: Miami,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Omari Boyd,Charles Rodriguez,Decision (Unanimous),3,3:00,,Superfight Series,Glory 68: Miami,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Aline Pereira,Chommanee Sor Taehiran,Decision (Unanimous),3,3:00,,Superfight Series,Glory 68: Miami,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Nick Chasteen,Keemaan Diop,Decision (Unanimous),3,3:00,,Prelims,Glory 68: Miami,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Ross Levine,Sean Choice,Decision (Unanimous),3,3:00,,Prelims,Glory 68: Miami,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Marat Grigorian (c),Tyjani Beztati,Decision (Unanimous),5,3:00,For the Glory Lightweight Championship,Main card,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,Michael Smolik,Mohamed Abdallah,Decision (Split),3,3:00,,Main card,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Light Heavyweight 95 kg,Luis Tavares,Michael Duut,Decision (Unanimous),3,3:00,,Main card,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Yousri Belgaroui,Ulrik Bokeme,Decision (Unanimous),3,3:00,,Main card,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Dmitry Menshikov,Yoann Kongolo,TKO (Doctor Stoppage),2,2:59,,Main card,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Light Heavyweight 95 kg,Stéphane Susperregui,Felipe Micheletti,Decision (Unanimous),4,3:00,,Superfight Series,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,Antonio Plazibat,Tomáš Možný,Decision (Unanimous),3,3:00,,Superfight Series,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Christi Brereton,Sarah Moussaddak,Decision (Split),3,3:00,,Superfight Series,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Light Heavyweight 95 kg,Sergej Maslobojev,Bahram Rajabzadeh,Decision (Unanimous),3,3:00,,Superfight Series,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Arian Sadiković,Dani Traoré,Decision (Unanimous),3,3:00,,Superfight Series,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Vlad Tuinov,Artur Saładiak,Decision (Unanimous),3,3:00,,Prelims,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Massaro Glunder,Arbi Emiev,Decision (Unanimous),3,3:00,,Prelims,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,River Daz,Antonio Campoy,Decision (Unanimous),3,3:00,,Prelims,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Jakob Styben,Kevin van Heeckeren,Decision (Split),3,3:00,,Prelims,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Jos van Belzen,Matthew Stevens,Decision (Split),3,3:00,,Prelims,Glory 69: Düsseldorf,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Murthel Groenhart,Troy Jones,KO (Punches),2,2:38,For the interim Glory Welterweight Championship,Main card,Glory 70: Lyon,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Donovan Wisse,Jason Wilnis,Decision (Unanimous),3,3:00,,Main card,Glory 70: Lyon,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Zakaria Zouggary,Abdellah Ezbiri,KO (Punches),1,2:25,,Main card,Glory 70: Lyon,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Bruno Gazani,Michael Palandre,Decision (Split),3,3:00,,Main card,Glory 70: Lyon,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,Nordine Mahieddine,Kirill Kornilov,Decision (Split),3,3:00,,Superfight Series,Glory 70: Lyon,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Matěj Peňáz,Yassine Ahaggan,TKO (Retirement),2,1:06,,Superfight Series,Glory 70: Lyon,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Jamie Bates,Vedat Hoduk,Decision (Unanimous),3,3:00,,Superfight Series,Glory 70: Lyon,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Mohamed Hendouf,Guerric Billet,Decision (Split),3,3:00,,Superfight Series,Glory 70: Lyon,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Thong Fairtex,Masaya Kubo,Decision (Unanimous),3,3:00,,Superfight Series,Glory 70: Lyon,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Cédric Do,Mehdi Kada,TKO (3 Knockdown Rule),2,1:04,,Prelims,Glory 70: Lyon,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Anaëlle Angerville,Maria Lobo,Decision (Unanimous),3,3:00,,Prelims,Glory 70: Lyon,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Said Ahamada,Yoann Mermoux,Decision (Unanimous),3,3:00,,Prelims,Glory 70: Lyon,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Tiffany van Soest,Anissa Meksen (c),Decision (Unanimous),5,3:00,For the Glory Super Bantamweight Championship,Main card,Glory 71: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,Benjamin Adegbuyi,D'Angelo Marshall,Decision (Unanimous),3,3:00,,Main card,Glory 71: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Mike Lemaire,Malik Watson-Smith,Decision (Unanimous),3,3:00,,Main card,Glory 71: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Lowrant-T Nelson,Ammari Diedrick,Decision (Unanimous),3,3:00,,Main card,Glory 71: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,Arkadiusz Wrzosek,Demoreo Dennis,TKO (3 Knockdown Rule),2,2:59,,Superfight Series,Glory 71: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Nick Chasteen,Seijo Imazaki,TKO (Retirement),2,3:00,,Superfight Series,Glory 71: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Aline Pereira,Crystal Lawson,TKO (3 Knockdown Rule),1,0:59,,Superfight Series,Glory 71: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Tom Jenkins,Andrew Navickis,KO (Punches),2,2:18,,Superfight Series,Glory 71: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Arthur Sorsor,Matt Zilch,Decision (Split),3,3:00,,Superfight Series,Glory 71: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Justin Moss,Kuchlong Kuchlong,Decision (Split),3,3:00,,Prelims,Glory 71: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Petchpanomrung Kiatmookao (c),Kevin VanNostrand,Draw (Majority),5,3:00,For the Glory Featherweight Championship,Main card,Glory 72: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Light Heavyweight 95 kg,Ryot Waller,Chris Camozzi,Decision (Split),4,3:00,,Main card,Glory 72: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Jady Menezes,Chommanee Sor Taehiran,KO (Body Punch),3,1:57,,Main card,Glory 72: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Bailey Sugden,John Morehouse,TKO (Referee Stoppage),1,2:12,,Main card,Glory 72: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Serhiy Adamchuk,Abraham Vidales,TKO (Referee Stoppage),3,1:27,,Superfight Series,Glory 72: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Charles Rodriguez,Taylor Krahl,TKO (Referee Stoppage),1,2:59,,Superfight Series,Glory 72: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Nathan Ward,Justin Greskiewicz,Decision (Unanimous),3,3:00,,Superfight Series,Glory 72: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Joe Taylor,Derek Loffer,KO (Punches),2,2:09,,Superfight Series,Glory 72: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,John King,Tom Matlon,KO (Punches),1,0:10,,Superfight Series,Glory 72: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Kanat Tassybay,Ben Acosta,Decision (Split),3,3:00,,Prelims,Glory 72: Chicago,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Marat Grigorian (c),Elvis Gashi,KO (Punches),5,2:03,For the Glory Lightweight Championship,Main card,Glory 73: Shenzhen,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,River Daz,Meng Gaofeng,Decision (Split),3,3:00,Featherweight Tournament Final,Main card,Glory 73: Shenzhen,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Josh Jauncey,Stoyan Koprivlenski,Decision (Split),3,3:00,,Main card,Glory 73: Shenzhen,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Meng Gaofeng,Masaya Kubo,Decision (Unanimous),3,3:00,Featherweight Tournament Semi-Finals,Main card,Glory 73: Shenzhen,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,River Daz,Hu Binqian,Decision (Unanimous),3,3:00,Featherweight Tournament Semi-Finals,Main card,Glory 73: Shenzhen,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Sun Chao,Farkhat Gassanov,TKO (Leg Kick),3,0:46,,Superfight Series,Glory 73: Shenzhen,https://en.wikipedia.org//wiki/2019_in_Glory,
Catchweight 62 kg,Jin-hyeok Kim,Lu Dongqiang,TKO (Retirement),1,3:00,,Superfight Series,Glory 73: Shenzhen,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,Andrey Gerasimchuk,Bruno Chaves,No Contest (Accidental Foul),1,1:09,,Superfight Series,Glory 73: Shenzhen,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Bruno Gazani,Vlad Tuinov,TKO (Body kick),3,0:23,,Superfight Series,Glory 73: Shenzhen,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Chuanlin Zhao,Thong Fairtex,TKO (2 Knockdown Rule),2,2:22,Featherweight Tournament Reserve,Superfight Series,Glory 73: Shenzhen,https://en.wikipedia.org//wiki/2019_in_Glory,
Welterweight 77 kg,Jianhong Yu,Yunlong Dou,Decision (Unanimous),3,3:00,,Prelims,Glory 73: Shenzhen,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Selina Flores,Zhang Meng,Decision (Split),3,3:00,,Prelims,Glory 73: Shenzhen,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,Rico Verhoeven (c),Badr Hari,TKO (Leg Injury),3,0:59,For the Glory Heavyweight Championship,Main card,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Light Heavyweight 95 kg,Luis Tavares,Stéphane Susperregui,Decision (Unanimous),3,3:00,,Main card,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Mohammed Jaraya,Massaro Glunder,Decision (Unanimous),3,3:00,,Main card,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 66 kg,Zakaria Zouggary,Asa Ten Pow,Decision (Unanimous),3,3:00,,Main card,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Alex Pereira (c),Ertugrul Bayrak,KO (Left hook),1,3:00,For the Glory Middleweight Championship,Glory 74,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Featherweight 65 kg,Serhiy Adamchuk,Aleksei Ulianov,Decision (Split),3,3:00,,Glory 74,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Light Heavyweight 95 kg,Ariel Machado,Michael Duut,Decision (Unanimous),3,3:00,,Glory 74,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Lightweight 70 kg,Itay Gershon,Li Zhaoyang,Decision (Majority),3,3:00,,Glory 74,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,Antonio Plazibat,Jahfarr Wilnis,Decision (Split),3,3:00,,Superfight Series,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Donovan Wisse,César Almeida,Decision (Majority),3,3:00,,Superfight Series,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Heavyweight 120 kg,Nordine Mahieddine,Cihad Kepenek,Decision (Split),4,3:00,,Superfight Series,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Ulrik Bokeme,Kevin van Heeckeren,Decision (Unanimous),3,3:00,,Superfight Series,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Super Bantamweight 55 kg,Rebekah Irwin,Yi Xu,Decision (Split),3,3:00,,Superfight Series,Glory Collision 2,https://en.wikipedia.org//wiki/2019_in_Glory,
Middleweight 85 kg,Simon Marcus,Artem Levin (c),DQ (Forfeit),3,2:55,For the Glory Middleweight Championship,Main card,Glory 27: Chicago,https://en.wikipedia.org//wiki/2016_in_Glory,
Middleweight 85 kg,Dustin Jacoby,Wayne Barrett,TKO (Max Knockdowns),2,1:06,Middleweight Contender Tournament Final,Main card,Glory 27: Chicago,https://en.wikipedia.org//wiki/2016_in_Glory,
Featherweight 65 kg,Giga Chikadze,Kevin Vannostrand,Decision (Unanimous),3,3:00,,Main card,Glory 27: Chicago,https://en.wikipedia.org//wiki/2016_in_Glory,
Middleweight 85 kg,Dustin Jacoby,Karl Roberson,TKO (2 Knockdowns),2,2:56,Middleweight Contender Tournament Semi-Finals,Main card,Glory 27: Chicago,https://en.wikipedia.org//wiki/2016_in_Glory,
Middleweight 85 kg,Wayne Barrett,Robert Thomas,Decision (Unanimous),3,3:00,Middleweight Contender Tournament Semi-Finals,Main card,Glory 27: Chicago,https://en.wikipedia.org//wiki/2016_in_Glory,
Middleweight 85 kg,Joe Schilling,Mike Lemaire,Decision (Unanimous),3,3:00,,Superfight Series,Glory 27: Chicago,https://en.wikipedia.org//wiki/2016_in_Glory,
Heavyweight 120 kg,Anderson Braddock,Maurice Greene,Decision (Unanimous),3,3:00,,Superfight Series,Glory 27: Chicago,https://en.wikipedia.org//wiki/2016_in_Glory,
Heavyweight 120 kg,Guto Inocente,Demoreo Dennis,KO (Spinning Heel Kick),1,0:40,,Superfight Series,Glory 27: Chicago,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Richard Abraham,Pawel Jedrzejczyk,Decision (Unanimous),3,3:00,,Superfight Series,Glory 27: Chicago,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Casey Greene,Daniel Morales,Decision (Unanimous),3,3:00,,Superfight Series,Glory 27: Chicago,https://en.wikipedia.org//wiki/2016_in_Glory,
Heavyweight 120 kg,Rico Verhoeven (c),Mladen Brestovac,Decision (Unanimous),5,3:00,For the Glory Heavyweight Championship,Main card,Glory 28: Paris,https://en.wikipedia.org//wiki/2016_in_Glory,
Lightweight 70 kg,Sitthichai Sitsongpeenong,Marat Grigorian,Decision (Unanimous),3,3:00,Lightweight Contender Tournament Final,Main card,Glory 28: Paris,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Cedric Doumbe,Murthel Groenhart,Decision (Unanimous),3,3:00,,Main card,Glory 28: Paris,https://en.wikipedia.org//wiki/2016_in_Glory,
Lightweight 70 kg,Marat Grigorian,Anatoly Moiseev,Decision (Unanimous),3,3:00,Lightweight Contender Tournament Semi-Finals,Main card,Glory 28: Paris,https://en.wikipedia.org//wiki/2016_in_Glory,
Lightweight 70 kg,Sitthichai Sitsongpeenong,Davit Kiria,Decision (Unanimous),3,3:00,Lightweight Contender Tournament Semi-Finals,Main card,Glory 28: Paris,https://en.wikipedia.org//wiki/2016_in_Glory,
Light Heavyweight 95 kg,Artem Vakhitov,Saulo Cavalari (c),Decision (Unanimous),5,3:00,For the Glory Light Heavyweight Championship,Superfight Series,Glory 28: Paris,https://en.wikipedia.org//wiki/2016_in_Glory,
Heavyweight 120 kg,Xavier Vigney,Freddy Kemayo,Decision (Unanimous),3,3:00,,Superfight Series,Glory 28: Paris,https://en.wikipedia.org//wiki/2016_in_Glory,
Featherweight 65 kg,Serhiy Adamchuk (c),Mosab Amrani,Decision (Unanimous),5,3:00,For the Glory Featherweight Championship,Superfight Series,Glory 28: Paris,https://en.wikipedia.org//wiki/2016_in_Glory,
Middleweight 85 kg,Jason Wilnis,Filip Verlinden,Decision (Unanimous),3,3:00,,Superfight Series,Glory 28: Paris,https://en.wikipedia.org//wiki/2016_in_Glory,
Lightweight 70 kg,Josh Jauncey,Johan Tkac,TKO (Broken Nose),2,3:00,Lightweight Contender Tournament Reserve Match,Superfight Series,Glory 28: Paris,https://en.wikipedia.org//wiki/2016_in_Glory,
Featherweight 65 kg,Eddy Nait Slimani,Maykol Yurk,Decision (Unanimous),3,3:00,,Superfight Series,Glory 28: Paris,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Nieky Holzken (c),Yoann Kongolo,Decision (Unanimous),5,3:00,For the Glory Welterweight Championship,Main card,Glory 29: Copenhagen,https://en.wikipedia.org//wiki/2016_in_Glory,
Heavyweight 120 kg,Ismael Londt,Jahfarr Wilnis,Decision (Split),3,3:00,Heavyweight Contender Tournament Final,Main card,Glory 29: Copenhagen,https://en.wikipedia.org//wiki/2016_in_Glory,
Lightweight 70 kg,Serhiy Adamchuk,Mohammed El Mir,Decision (Unanimous),3,3:00,,Main card,Glory 29: Copenhagen,https://en.wikipedia.org//wiki/2016_in_Glory,
Heavyweight 120 kg,Jahfarr Wilnis,Kirill Kornilov,Decision (Unanimous),3,3:00,Heavyweight Contender Tournament Semi-Finals,Main card,Glory 29: Copenhagen,https://en.wikipedia.org//wiki/2016_in_Glory,
Heavyweight 120 kg,Ismael Londt,Anderson Braddock,Decision (Majority),3,3:00,Heavyweight Contender Tournament Semi-Finals,Main card,Glory 29: Copenhagen,https://en.wikipedia.org//wiki/2016_in_Glory,
Light Heavyweight 95 kg,Zack Mwekassa,Zinedine Hameur-Lain,Decision (Unanimous),3,3:00,,Superfight Series,Glory 29: Copenhagen,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Meran Zangana,Jonatan Oliveira,TKO (Max Knockdowns),3,0:17,,Superfight Series,Glory 29: Copenhagen,https://en.wikipedia.org//wiki/2016_in_Glory,
Heavyweight 120 kg,Tomáš Možný,Cihad Kepenek,Decision (Extra round),4,3:00,,Superfight Series,Glory 29: Copenhagen,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Harut Grigorian,Maximo Suarez,KO (Head Kick),1,2:55,,Superfight Series,Glory 29: Copenhagen,https://en.wikipedia.org//wiki/2016_in_Glory,
Lightweight 70 kg,Abdou Karim Chorr,Rhassan Muhareb,Decision (Unanimous),3,3:00,,Superfight Series,Glory 29: Copenhagen,https://en.wikipedia.org//wiki/2016_in_Glory,
Middleweight 85 kg,Simon Marcus (c),Dustin Jacoby,Decision (Unanimous),5,3:00,For the Glory Middleweight Championship,Main card,Glory 30: Los Angeles,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Richard Abraham,Francois Ambang,Decision (Split),3,3:00,Welterweight Qualification Tournament Final,Main card,Glory 30: Los Angeles,https://en.wikipedia.org//wiki/2016_in_Glory,
Lightweight 70 kg,Marat Grigorian,Djime Coulibaly,KO (Head Kick),1,1:56,,Main card,Glory 30: Los Angeles,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Francois Ambang,Daniel Morales,Decision (Unanimous),3,3:00,Welterweight Qualification Tournament Semi-Finals,Main card,Glory 30: Los Angeles,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Richard Abraham,Casey Greene,Decision (Unanimous),3,3:00,Welterweight Qualification Tournament Semi-Finals,Main card,Glory 30: Los Angeles,https://en.wikipedia.org//wiki/2016_in_Glory,
Middleweight 85 kg,Jason Wilnis,Joe Schilling,Decision (Majority),3,3:00,,Superfight Series,Glory 30: Los Angeles,https://en.wikipedia.org//wiki/2016_in_Glory,
Heavyweight 120 kg,Guto Inocente,Brian Douwes,Decision (Unanimous),3,3:00,,Superfight Series,Glory 30: Los Angeles,https://en.wikipedia.org//wiki/2016_in_Glory,
Women's Super Bantamweight 55 kg,Tiffany van Soest,Esma Hasshass,Decision (Unanimous),3,3:00,Women's Super Bantamweight Grand Prix Quarter Final,Superfight Series,Glory 30: Los Angeles,https://en.wikipedia.org//wiki/2016_in_Glory,
Middleweight 85 kg,Mike Lemaire,Karl Roberson,Decision (Unanimous),3,3:00,,Superfight Series,Glory 30: Los Angeles,https://en.wikipedia.org//wiki/2016_in_Glory,
Light Heavyweight 95 kg,Manny Mancha,Warren Thompson,Decision (Unanimous),3,3:00,,Superfight Series,Glory 30: Los Angeles,https://en.wikipedia.org//wiki/2016_in_Glory,
Lightweight 70 kg,Sitthichai Sitsongpeenong,Robin van Roosmalen (c),Decision (Split),5,3:00,For the Glory Lightweight Championship,Main card,Glory 31: Amsterdam,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Murthel Groenhart,Yoann Kongolo,Decision (Unanimous),3,3:00,Welterweight Contender Tournament Final,Main card,Glory 31: Amsterdam,https://en.wikipedia.org//wiki/2016_in_Glory,
Heavyweight 120 kg,Ismael Londt,Hesdy Gerges,Decision (Split),3,3:00,,Main card,Glory 31: Amsterdam,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Yoann Kongolo,Harut Grigorian,Decision (Split),3,3:00,Welterweight Contender Tournament Semi-Finals,Main card,Glory 31: Amsterdam,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Murthel Groenhart,Karim Benmansour,TKO (2 knockdowns),3,1:08,Welterweight Contender Tournament Semi-Finals,Main card,Glory 31: Amsterdam,https://en.wikipedia.org//wiki/2016_in_Glory,
Light Heavyweight 95 kg,Zack Mwekassa,Mourad Bouzidi,TKO (3 Knockdowns),1,1:47,For the interim Glory Light Heavyweight Championship,Superfight Series,Glory 31: Amsterdam,https://en.wikipedia.org//wiki/2016_in_Glory,
Featherweight 65 kg,Saenchai PKSaenchaimuaythaigym,Eddy Nait Slimani,Decision (Unanimous),3,3:00,,Superfight Series,Glory 31: Amsterdam,https://en.wikipedia.org//wiki/2016_in_Glory,
Lightweight 70 kg,Anatoly Moiseev,Josh Jauncey,Decision (Unanimous),3,3:00,,Superfight Series,Glory 31: Amsterdam,https://en.wikipedia.org//wiki/2016_in_Glory,
Women's Super Bantamweight 55 kg,Isis Verbeek,Irina Mazepa,Decision (Split),3,3:00,Women's Super Bantamweight Grand Prix Quarter Final,Superfight Series,Glory 31: Amsterdam,https://en.wikipedia.org//wiki/2016_in_Glory,
Welterweight 77 kg,Eyevan Danenberg,Maximo Suarez,Decision (Unanimous),3,3:00,,Superfight Series,Glory 31: Amsterdam,https://en.wikipedia.org//wiki/2016_in_Glory,
Featherweight 65 kg,Gabriel Varga,Serhiy Adamchuk (c),Decision (Majority),5,3:00,For the Glory Featherweight Championship,Main card,Glory 32: Virginia,https://en.wikipedia.org//wiki/2016_in_Glory,
Light Heavyweight 95 kg,Zinedine Hameur-Lain,Ariel Machado,KO (Knee to Liver),2,1:00,Light Heavyweight Contender Tournament Final,Main card,Glory 32: Virginia,https://en.wikipedia.org//wiki/2016_in_Glory,
Light Heavyweight 95 kg,Brian Collette,Myron Dennis,Decision (Unanimous),3,3:00,,Main card,Glory 32: Virginia,https://en.wikipedia.org//wiki/2016_in_Glory,
Light Heavyweight 95 kg,Zinedine Hameur-Lain,Warren Thompson,KO (Punch),1,0:12,Light Heavyweight Contender Tournament Semi-Finals,Main card,Glory 32: Virginia,https://en.wikipedia.org//wiki/2016_in_Glory,
Light Heavyweight 95 kg,Ariel Machado,Pavel Zhuravlev,Decision (Unanimous),3,3:00,Light Heavyweight Contender Tournament Semi-Finals,Main card,Glory 32: Virginia,https://en.wikipedia.org//wiki/2016_in_Glory,
Heavyweight 120 kg,Chi Lewis Parry,Maurice Greene,KO (Right Uppercut),2,2:30,,Superfight Series,Glory 32: Virginia,https://en.wikipedia.org//wiki/2016_in_Glory,
